taxaID;species;Azooxanthellate;Undefined;Zooxanthellate
taxa1;Acabaria sp.;1;;
taxa2;Acanella arbuscula;1;;
taxa3;Acanthogorgia armata;1;;
taxa4;Acanthogorgia sp.;1;;
taxa5;Acanthogorgia vegae;1;;
taxa6;Ainigmaptilon antarcticum;1;;
taxa7;Alcyonium acaule;1;;
taxa8;Alcyonium antarcticum;1;;
taxa9;Alcyonium digitatum;1;;
taxa10;Alcyonium hibernicum;1;;
taxa11;Alcyonium siderium;1;;
taxa12;Alcyonium sp.;;;1
taxa13;Annella reticulata;;1;
taxa14;Annella sp.;1;;
taxa15;Anthomastus;1;;
taxa16;Anthomastus bathyproctus;1;;
taxa17;Anthomastus grandiflorus;1;;
taxa18;Anthoptilum grandiflorum;1;;
taxa19;Antillogorgia acerosa;;;1
taxa20;Antillogorgia americana;;;1
taxa21;Antillogorgia bipinnata;;;1
taxa22;Asterospicularia sp.;;;1
taxa23;Astrogorgia sp. ;1;;
taxa24;Bebryce indica;1;;
taxa25;Bebryce sp.;1;;
taxa26;Briareum asbestinum;;;1
taxa27;Briareum hamrum;;;1
taxa28;Briareum stechei;;;1
taxa29;Calcigorgia spiculifera;1;;
taxa30;Calyptrophora japonica;1;;
taxa31;Capnella gaboensis;;;1
taxa32;Capnella lacertiliensis;;;1
taxa33;Capnella sp.;;;1
taxa34;Carijoa riisei;1;;
taxa35;Cladiella humesi;;;1
taxa36;Cladiella sphaerophora;;1;
taxa37;Clavularia cf. frankliniana;1;;
taxa38;Clavularia frankliniana;1;;
taxa39;Corallium rubrum;1;;
taxa40;Dasystenella sp.;1;;
taxa41;Dendronephthya australis;1;;
taxa42;Dendronephthya gigantea;1;;
taxa43;Dendronephthya hemprichi;1;;
taxa44;Dendronephthya sinaiensis;1;;
taxa45;Dendronephthya sp.;1;;
taxa46;Dendronephthya spp.;1;;
taxa47;Duva florida;1;;
taxa48;Echinogorgia sp.;1;;
taxa49;Efflatounaria sp.;;;1
taxa50;Ellisella sp.;1;;
taxa51;Eunicea calyculata;;;1
taxa52;Eunicea flexuosa;;;1
taxa53;Eunicea mammosa;;;1
taxa54;Eunicea sp.;;;1
taxa55;Eunicea succinea;;;1
taxa56;Eunicea tourneforti;;;1
taxa57;Eunicella cavolini;1;;
taxa58;Eunicella singularis;;;1
taxa59;Eunicella sp.;1;;
taxa60;Eunicella verrucosa;1;;
taxa61;Gersemia antarctica;1;;
taxa62;Gersemia fruticosa;1;;
taxa63;Gersemia rubiformis;1;;
taxa64;Gorgonia flabellum;;;1
taxa65;Gorgonia ventalina;;;1
taxa66;Halipteris finmarchica;1;;
taxa67;Heliopora coerulea;;;1
taxa68;Heteroxenia elisabethae;;;1
taxa69;Heteroxenia fuscescens;;;1
taxa70;Heteroxenia ghardaqensis;;;1
taxa71;Hicksonella princeps;;;1
taxa72;Isis hippuris;;;1
taxa73;Junceella fragilis;;;1
taxa74;Keratoisis ornata;1;;
taxa75;Keroeides sp.;1;;
taxa76;Klyxum molle;;;1
taxa77;Lemnalia rhabdota;;;1
taxa78;Lemnalia sp.;;;1
taxa79;Leptogorgia sarmentosa;1;;
taxa80;Leptogorgia sp.;1;;
taxa81;Leptogorgia virgulata;1;;
taxa82;Litophyton arboreum;;;1
taxa83;Litophyton sp.;;;1
taxa84;Litophyton spp. ;;;1
taxa85;Lobophytum compactum;;;1
taxa86;Lobophytum crassum;;1;
taxa87;Lobophytum gazellae;;;1
taxa88;Lobophytum pauciflorum;;;1
taxa89;Lobophytum spp.;;;1
taxa90;Malacobelemnon daytoni;1;;
taxa91;Melithaea aurantia;1;;
taxa92;Melithaea hicksoni;1;;
taxa93;Melithaea ochracea;;1;
taxa94;Muricea californica;1;;
taxa95;Muricea fruticosa;1;;
taxa96;Muricella sp.;1;;
taxa97;Muriceopsis flavida;;;1
taxa98;Notisis sp.;1;;
taxa99;Onogorgia nodosa;1;;
taxa100;Ovabunda macrospiculata;;;1
taxa101;Paracis sp.;1;;
taxa102;Paragorgia arborea;1;;
taxa103;Paralemnalia clavata;;;1
taxa104;Paralemnalia digitiformis;;;1
taxa105;Paralemnalia spp.;;;1
taxa106;Paramuricea;1;;
taxa107;Paramuricea biscaya;1;;
taxa108;Paramuricea cf. macrospina;1;;
taxa109;Paramuricea clavata;1;;
taxa110;Paramuricea macrospina;1;;
taxa111;Pennatula;1;;
taxa112;Pennatula aculeata;1;;
taxa113;Pennatulacea;1;;
taxa114;Plexaura flexuosa;;;1
taxa115;Plexaura homomalla;;;1
taxa116;Plexaura kuna;;;1
taxa117;Plexaura nina;;;1
taxa118;Plexaura sp.;;;1
taxa119;Plexaurella fusifera;;;1
taxa120;Plexaurella nutans;;;1
taxa121;Plumarella sp.;1;;
taxa122;Primnoa pacifica;1;;
taxa123;Primnoa resedaeformis;1;;
taxa124;Primnoa sp.;1;;
taxa125;Primnoella sp.;1;;
taxa126;Primnoisis (Primnoisis) antarctica;1;;
taxa127;Primnoisis sp.;1;;
taxa128;Pseudoplexaura crucis;;;1
taxa129;Pseudoplexaura flagellosa;;;1
taxa130;Pseudoplexaura porosa;;;1
taxa131;Pseudoplexaura sp.;;;1
taxa132;Pseudoplexaura wagenaari;;;2
taxa133;Pseudopterogorgia americana;;;1
taxa134;Pseudopterogorgia sp.;;;1
taxa135;Pseudopterogorgia spp.;;;1
taxa136;Pterogorgia anceps;;;1
taxa137;Ptilosarcus gurneyi;1;;
taxa138;Rhytisma fulvum;;;1
taxa139;Rumphella aggregata;;;1
taxa140;Sarcophyton cf. glaucum;;;1
taxa141;Sarcophyton ehrenbergi;;;1
taxa142;Sarcophyton glaucum;;;1
taxa143;Sarcophyton sp.;;;1
taxa144;Sarcophyton spp.;;;1
taxa145;Sarcophyton trocheliophorum;;;1
taxa146;Scleronephthya corymbosa;1;;
taxa147;Scleronephthya sp.;1;;
taxa148;Sinularia aff. deformis;;;1
taxa149;Sinularia capillosa;;;1
taxa150;Sinularia capitalis;;;1
taxa151;Sinularia cf. muralis;;;1
taxa152;Sinularia cruciata;;;1
taxa153;Sinularia densa;;;1
taxa154;Sinularia firma;;;1
taxa155;Sinularia flexibilis;;;1
taxa156;Sinularia hirta;;;1
taxa157;Sinularia inelegans;;;1
taxa158;Sinularia inelegans lochmodes;;;1
taxa159;Sinularia leptoclados;;;1
taxa160;Sinularia lochmodes;;;1
taxa161;Sinularia maxima;;;1
taxa162;Sinularia maxima x polydactyla;;;1
taxa163;Sinularia microclavata;;;1
taxa164;Sinularia microspiculata;;;1
taxa165;Sinularia notanda;;;1
taxa166;Sinularia polydactyla;;;1
taxa167;Sinularia sp.;;;1
taxa168;Sinularia spp.;;;1
taxa169;Subergorgia suberosa;1;;
taxa170;Thouarella sp.;1;;
taxa171;Thouarella variabilis;1;;
taxa172;Tripalea clavaria;1;;
taxa173;Tubipora musica;;;1
taxa174;Veretillum cynomorium;1;;
taxa175;Villogorgia sp.;1;;
taxa176;Viminella sp.;1;;
taxa177;Xenia elongata;;;1
taxa178;Xenia hicksoni;;;1
taxa179;Xenia membranacea;;;1
taxa180;Xenia spp.;;;1
taxa181;Xenia umbellata;;;1
taxa182;Xeniidae;;;1
;Total;82;4;97
